b508b3e08263e04ccfbee888d680ce1e29feae16b44406f4f81f095d02e8d8a7
"FileVersion	""2.0"""
"EcoStruxureOperatorTerminalExpert	""3.5.100"""
"Date	Time	AIR_OUT_1	QF	AIR_OUT_2	QF	AIR_OUT_3	QF	AIR_OUT_4	QF	BATCH_NAME	QF	H_COOLING_4	QF	H_DRY_1	QF	H_DRY_2	QF	H_DRY_3	QF	M_COOLING_4	QF	M_DRY_1	QF	M_DRY_2	QF	M_DRY_3	QF	TEMP_AIR_IN	QF	TEMP_PRODUCT_1	QF	TEMP_PRODUCT_2	QF	TEMP_PRODUCT_3	QF	T_CLEAN_ON_1	QF	T_CLEAN_ON_2	QF	T_CLEAN_ON_3	QF	T_CLEAN_ON_4	QF	T_PAUSE_CLEAN_1	QF	T_PAUSE_CLEAN_2	QF	T_PAUSE_CLEAN_3	QF	T_PAUSE_CLEAN_4	QF"
"06/23/2025	""12:10:20""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.016998291016	0	32.256000518799	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:11:20""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:12:35""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.200000762939	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:13:35""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.200000762939	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:14:35""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.200000762939	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:15:35""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.200000762939	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:16:35""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.200000762939	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:17:35""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:18:35""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.118000030518	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:19:42""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.218997955322	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:20:42""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.218997955322	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:21:42""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.218997955322	0	32.356800079346	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:23:00""	50	0	45	0	40	0	42	0	""BATCH_TEST""	0	0	0	0	0	1	0	0	0	50	0	30	0	0	0	15	0	32.099998474121	0	32.600002288818	0	32.218997955322	0	32.356800079346	0	15	0	20	0	20	0	25	0	30	0	40	0	60	0	55	0"
"06/23/2025	""12:24:00""	50	0	45	0	40	0	42	0	""BATCH_TEST""	0	0	0	0	0	1	0	0	0	50	0	30	0	0	0	15	0	32.099998474121	0	32.600002288818	0	32.218997955322	0	32.356800079346	0	15	0	20	0	20	0	25	0	30	0	40	0	60	0	55	0"
"06/23/2025	""12:25:00""	50	0	45	0	40	0	42	0	""BATCH_TEST""	0	0	0	0	0	1	0	0	0	50	0	30	0	0	0	15	0	32.099998474121	0	32.600002288818	0	32.218997955322	0	32.356800079346	0	15	0	20	0	20	0	25	0	30	0	40	0	60	0	55	0"
"06/23/2025	""12:26:00""	50	0	45	0	40	0	42	0	""BATCH_TEST""	0	0	0	0	0	1	0	0	0	50	0	30	0	0	0	15	0	32.099998474121	0	32.600002288818	0	32.218997955322	0	32.356800079346	0	15	0	20	0	20	0	25	0	30	0	40	0	60	0	55	0"
